-13,33,-1013
-11,31,-1013
-15,35,-1009
-5,5,-1013
-17,23,-1020
-23,35,-1015
-9,29,-1013
-23,37,-1015
0,13,-1009
-5,19,-1015
-17,29,-999
-13,23,-1011
-21,33,-1018
-1,25,-1007
-9,13,-1015
-25,52,-1013
-7,21,-1015
-13,40,-1016
-15,13,-1003
-11,15,-1018
-11,46,-1009
-15,31,-1028
-9,29,-1018
-7,29,-1011
-13,13,-1015
-15,29,-1015
-7,46,-1024
-11,35,-1018
-11,23,-1005
-23,15,-1022
-17,31,-1015
-11,39,-1005
-3,39,-1018
-5,35,-1024
1,19,-1018
-13,33,-1018
-13,35,-1007
-11,33,-1022
-13,29,-1016
-9,17,-1016
-11,31,-1020
-17,33,-1024
0,29,-1020
-11,31,-1009
-3,7,-1013
-15,31,-1016
-17,39,-1016
-9,31,-1020
-7,35,-1009
-3,9,-1030
-17,15,-1015
-5,29,-1013
-1,33,-1018
-7,31,-1016
-1,19,-1016
-7,15,-1007
-21,31,-1022
-19,35,-1018
-23,33,-1011
-19,3,-1011
-17,23,-1016
-11,31,-1022
-19,27,-1011
-13,39,-1015
-11,9,-1013
-13,21,-1016
-17,27,-1011
-17,37,-1005
-13,37,-1009
-11,15,-1013
-11,15,-1024
-21,29,-1013
-5,25,-1013
-21,27,-1005
-15,33,-1007
-23,19,-1009
-33,13,-1018
-11,21,-1015
-7,21,-1001
-9,27,-1009
-1,19,-1015
-21,31,-1013
-7,25,-1011
-9,40,-1013
-15,17,-1013
-23,17,-1003
-11,31,-1013
-25,27,-1016
-13,40,-1009
-21,31,-1011
-17,13,-1011
-23,15,-1013
-13,29,-1001
-11,23,-1005
-15,37,-1016
-21,15,-1016
-23,21,-1011
-3,29,-1016
3,29,-1001
-15,35,-1005
-11,21,-1013
-13,23,-1013
-17,33,-1013
-13,42,-1013
-13,44,-1016
-11,13,-1009
-7,33,-1016
-9,33,-1028
-9,35,-1009
-3,39,-1015
-17,21,-1018
-3,23,-1015
-11,23,-1013
-13,42,-1013
-3,39,-1015
-9,29,-1007
-7,15,-1005
-11,19,-1013
-7,33,-1013
-15,44,-1020
-3,27,-1011
-9,37,-1016
-5,35,-1015
-19,29,-1009
-19,31,-1013
-11,31,-1018
-5,27,-1016
-7,31,-1015
-15,27,-1015
-5,40,-1011
-15,17,-1015
-21,25,-1011
-3,17,-1016
-13,33,-1020
-7,39,-1020
-11,21,-1020
-23,27,-1011
-7,13,-1018
-15,25,-1022
-11,46,-1018
-9,29,-1013
-11,29,-1011
-21,23,-1018
-11,19,-1022
-33,39,-1009
-11,21,-1015
-21,31,-1022
-21,17,-1015
-19,21,-1011
-9,29,-1018
-25,17,-1026
-17,27,-1018
-21,13,-1013
5,29,-1018
-19,40,-1011
0,25,-1013
-7,23,-1016
-15,21,-1015
-13,13,-1016
-23,37,-1011
-7,29,-1016
-11,25,-1009
-5,27,-1005
-17,13,-1015
-11,23,-1005
-17,42,-1015
-7,21,-1013
-25,29,-1013
-11,11,-1009
-13,35,-999
-9,37,-1011
-19,13,-1018
-19,21,-1005
-11,13,-1015
-7,33,-1007
-19,46,-1005
-7,25,-1009
-19,29,-1009
-5,13,-1015
-17,25,-1007
-3,31,-1016
-21,23,-1024
0,39,-1007
-13,15,-1013
-13,29,-1015
-21,40,-1007
-5,27,-1007
-21,29,-1016
-5,15,-1013
-15,31,-1011
-7,46,-1009
-9,23,-1009
-21,31,-1013
-15,15,-1009
-7,25,-1011
-15,40,-1015
0,25,-1009
-19,31,-1013
-5,21,-1018
-11,33,-1013
-23,50,-1018
-11,29,-1005
-13,31,-1011
-17,17,-1015
-11,29,-1020
-11,39,-1013
-1,29,-1016
-21,40,-1018
-17,23,-1018
-9,19,-1020
-19,35,-1018
-7,31,-1018
-9,31,-1013
-9,29,-1007
7,15,-1020
-21,44,-1018
-21,27,-1015
-11,35,-1016
-5,25,-1005
-11,9,-1011
-15,31,-1011
-13,40,-1024
-11,40,-1018
-13,35,-1015
-5,3,-1015
-19,39,-1005
-3,13,-1026
-11,40,-1013
-5,29,-1016
-9,5,-1015
-9,29,-1009
-11,40,-1018
-23,29,-1020
-17,33,-1018
-1,1,-1022
-17,31,-1018
-21,31,-1016
-13,19,-1009
-17,46,-1015
-5,7,-1015
-23,39,-1016
-17,21,-1015
-21,31,-1013
-9,25,-1011
-21,23,-1018
1,13,-1011
-19,27,-1028
-11,29,-1011
-21,25,-1018
-13,25,-1013
-3,15,-1015
-11,39,-1015
-21,31,-1016
-15,40,-1018
-13,27,-1005
-9,21,-1009
-25,17,-1016
-13,25,-1007
-19,42,-1013
-9,15,-1015
-7,15,-1013
-15,27,-1016
-13,35,-1015
-23,37,-1015
-5,23,-1018
-5,15,-1016
-15,35,-1013
-9,25,-1007
-21,40,-1018
-7,19,-1011
-23,15,-1005
-11,31,-1007
-9,29,-1013
-19,46,-1009
-9,15,-1011
-9,19,-1015
-11,27,-1013
-5,25,-1018
-19,46,-1005
-5,25,-1005
-15,35,-1022
-27,29,-1015
-3,25,-1013
-11,44,-1015
-19,37,-1020
-9,17,-1015
-11,31,-1011
-17,29,-1007
-21,46,-1005
-11,33,-1011
-19,19,-1022
-17,29,-1005
-9,15,-1018
-19,44,-1007
-11,25,-1013
-9,11,-1020
-11,17,-1011
0,21,-1022
-9,42,-1007
-17,29,-1028
-19,23,-1013
-9,17,-1013
-17,19,-1024
-15,35,-1013
-11,23,-1013
-21,19,-1016
0,23,-1013
-13,17,-1018
-5,31,-1026
-9,29,-1018
-11,25,-1020
